Date,Time,Usage_USgal,year,month,day,hour,day_of_week
2015-09-02,18:00,9,2015,9,2,18,Wednesday
2015-09-02,19:00,13,2015,9,2,19,Wednesday
2015-09-02,20:00,27,2015,9,2,20,Wednesday
2015-09-02,21:00,4,2015,9,2,21,Wednesday
2015-09-02,22:00,4,2015,9,2,22,Wednesday
2015-09-02,23:00,0,2015,9,2,23,Wednesday
2015-09-03,00:00,0,2015,9,3,0,Thursday
2015-09-03,01:00,3,2015,9,3,1,Thursday
2015-09-03,02:00,0,2015,9,3,2,Thursday
2015-09-03,03:00,0,2015,9,3,3,Thursday
2015-09-03,04:00,0,2015,9,3,4,Thursday
2015-09-03,05:00,0,2015,9,3,5,Thursday
2015-09-03,06:00,4,2015,9,3,6,Thursday
2015-09-03,07:00,14,2015,9,3,7,Thursday
2015-09-03,08:00,8,2015,9,3,8,Thursday
2015-09-03,09:00,2,2015,9,3,9,Thursday
2015-09-03,10:00,0,2015,9,3,10,Thursday
2015-09-03,11:00,0,2015,9,3,11,Thursday
2015-09-03,12:00,0,2015,9,3,12,Thursday
2015-09-03,13:00,0,2015,9,3,13,Thursday
2015-09-03,14:00,0,2015,9,3,14,Thursday
2015-09-03,15:00,0,2015,9,3,15,Thursday
2015-09-03,16:00,5,2015,9,3,16,Thursday
2015-09-03,17:00,13,2015,9,3,17,Thursday
2015-09-03,18:00,1,2015,9,3,18,Thursday
2015-09-03,19:00,6,2015,9,3,19,Thursday
2015-09-03,20:00,17,2015,9,3,20,Thursday
2015-09-03,21:00,26,2015,9,3,21,Thursday
2015-09-03,22:00,3,2015,9,3,22,Thursday
2015-09-03,23:00,6,2015,9,3,23,Thursday
2015-09-04,00:00,3,2015,9,4,0,Friday
2015-09-04,01:00,6,2015,9,4,1,Friday
2015-09-04,02:00,1,2015,9,4,2,Friday
2015-09-04,03:00,0,2015,9,4,3,Friday
2015-09-04,04:00,0,2015,9,4,4,Friday
2015-09-04,05:00,0,2015,9,4,5,Friday
2015-09-04,06:00,18,2015,9,4,6,Friday
2015-09-04,07:00,10,2015,9,4,7,Friday
2015-09-04,08:00,42,2015,9,4,8,Friday
2015-09-04,09:00,7,2015,9,4,9,Friday
2015-09-04,10:00,36,2015,9,4,10,Friday
2015-09-04,11:00,35,2015,9,4,11,Friday
2015-09-04,12:00,0,2015,9,4,12,Friday
2015-09-04,13:00,0,2015,9,4,13,Friday
2015-09-04,14:00,7,2015,9,4,14,Friday
2015-09-04,15:00,2,2015,9,4,15,Friday
2015-09-04,16:00,9,2015,9,4,16,Friday
2015-09-04,17:00,19,2015,9,4,17,Friday
2015-09-04,18:00,13,2015,9,4,18,Friday
2015-09-04,19:00,7,2015,9,4,19,Friday
2015-09-04,20:00,1,2015,9,4,20,Friday
2015-09-04,21:00,86,2015,9,4,21,Friday
2015-09-04,22:00,4,2015,9,4,22,Friday
2015-09-04,23:00,6,2015,9,4,23,Friday
2015-09-05,00:00,4,2015,9,5,0,Saturday
2015-09-05,01:00,0,2015,9,5,1,Saturday
2015-09-05,02:00,3,2015,9,5,2,Saturday
2015-09-05,03:00,0,2015,9,5,3,Saturday
2015-09-05,04:00,0,2015,9,5,4,Saturday
2015-09-05,05:00,0,2015,9,5,5,Saturday
2015-09-05,06:00,5,2015,9,5,6,Saturday
2015-09-05,07:00,9,2015,9,5,7,Saturday
2015-09-05,08:00,34,2015,9,5,8,Saturday
2015-09-05,09:00,8,2015,9,5,9,Saturday
2015-09-05,10:00,14,2015,9,5,10,Saturday
2015-09-05,11:00,25,2015,9,5,11,Saturday
2015-09-05,12:00,36,2015,9,5,12,Saturday
2015-09-05,13:00,15,2015,9,5,13,Saturday
2015-09-05,14:00,10,2015,9,5,14,Saturday
2015-09-05,15:00,29,2015,9,5,15,Saturday
2015-09-05,16:00,5,2015,9,5,16,Saturday
2015-09-05,17:00,30,2015,9,5,17,Saturday
2015-09-05,18:00,2,2015,9,5,18,Saturday
2015-09-05,19:00,9,2015,9,5,19,Saturday
2015-09-05,20:00,24,2015,9,5,20,Saturday
2015-09-05,21:00,4,2015,9,5,21,Saturday
2015-09-05,22:00,0,2015,9,5,22,Saturday
2015-09-05,23:00,18,2015,9,5,23,Saturday
2015-09-06,00:00,3,2015,9,6,0,Sunday
2015-09-06,01:00,2,2015,9,6,1,Sunday
2015-09-06,02:00,0,2015,9,6,2,Sunday
2015-09-06,03:00,1,2015,9,6,3,Sunday
2015-09-06,04:00,0,2015,9,6,4,Sunday
2015-09-06,05:00,0,2015,9,6,5,Sunday
2015-09-06,06:00,0,2015,9,6,6,Sunday
2015-09-06,07:00,9,2015,9,6,7,Sunday
2015-09-06,08:00,43,2015,9,6,8,Sunday
2015-09-06,09:00,22,2015,9,6,9,Sunday
2015-09-06,10:00,18,2015,9,6,10,Sunday
2015-09-06,11:00,1,2015,9,6,11,Sunday
2015-09-06,12:00,0,2015,9,6,12,Sunday
2015-09-06,13:00,0,2015,9,6,13,Sunday
2015-09-06,14:00,0,2015,9,6,14,Sunday
2015-09-06,15:00,0,2015,9,6,15,Sunday
2015-09-06,16:00,0,2015,9,6,16,Sunday
2015-09-06,17:00,0,2015,9,6,17,Sunday
2015-09-06,18:00,6,2015,9,6,18,Sunday
2015-09-06,19:00,5,2015,9,6,19,Sunday
2015-09-06,20:00,16,2015,9,6,20,Sunday
2015-09-06,21:00,15,2015,9,6,21,Sunday
2015-09-06,22:00,9,2015,9,6,22,Sunday
2015-09-06,23:00,5,2015,9,6,23,Sunday
2015-09-07,00:00,5,2015,9,7,0,Monday
2015-09-07,01:00,2,2015,9,7,1,Monday
2015-09-07,02:00,0,2015,9,7,2,Monday
2015-09-07,03:00,0,2015,9,7,3,Monday
2015-09-07,04:00,0,2015,9,7,4,Monday
2015-09-07,05:00,0,2015,9,7,5,Monday
2015-09-07,06:00,7,2015,9,7,6,Monday
2015-09-07,07:00,3,2015,9,7,7,Monday
2015-09-07,08:00,37,2015,9,7,8,Monday
2015-09-07,09:00,35,2015,9,7,9,Monday
2015-09-07,10:00,18,2015,9,7,10,Monday
2015-09-07,11:00,14,2015,9,7,11,Monday
2015-09-07,12:00,4,2015,9,7,12,Monday
2015-09-07,13:00,6,2015,9,7,13,Monday
2015-09-07,14:00,21,2015,9,7,14,Monday
2015-09-07,15:00,10,2015,9,7,15,Monday
2015-09-07,16:00,7,2015,9,7,16,Monday
2015-09-07,17:00,4,2015,9,7,17,Monday
2015-09-07,18:00,15,2015,9,7,18,Monday
2015-09-07,19:00,12,2015,9,7,19,Monday
2015-09-07,20:00,27,2015,9,7,20,Monday
2015-09-07,21:00,23,2015,9,7,21,Monday
2015-09-07,22:00,5,2015,9,7,22,Monday
2015-09-07,23:00,9,2015,9,7,23,Monday
2015-09-08,00:00,4,2015,9,8,0,Tuesday
2015-09-08,01:00,0,2015,9,8,1,Tuesday
2015-09-08,02:00,2,2015,9,8,2,Tuesday
2015-09-08,03:00,36,2015,9,8,3,Tuesday
2015-09-08,04:00,14,2015,9,8,4,Tuesday
2015-09-08,05:00,0,2015,9,8,5,Tuesday
2015-09-08,06:00,5,2015,9,8,6,Tuesday
2015-09-08,07:00,24,2015,9,8,7,Tuesday
2015-09-08,08:00,29,2015,9,8,8,Tuesday
2015-09-08,09:00,23,2015,9,8,9,Tuesday
2015-09-08,10:00,23,2015,9,8,10,Tuesday
2015-09-08,11:00,3,2015,9,8,11,Tuesday
2015-09-08,12:00,12,2015,9,8,12,Tuesday
2015-09-08,13:00,3,2015,9,8,13,Tuesday
2015-09-08,14:00,0,2015,9,8,14,Tuesday
2015-09-08,15:00,0,2015,9,8,15,Tuesday
2015-09-08,16:00,22,2015,9,8,16,Tuesday
2015-09-08,17:00,15,2015,9,8,17,Tuesday
2015-09-08,18:00,9,2015,9,8,18,Tuesday
2015-09-08,19:00,0,2015,9,8,19,Tuesday
2015-09-08,20:00,1,2015,9,8,20,Tuesday
2015-09-08,21:00,3,2015,9,8,21,Tuesday
2015-09-08,22:00,0,2015,9,8,22,Tuesday
2015-09-08,23:00,4,2015,9,8,23,Tuesday
2015-09-09,00:00,7,2015,9,9,0,Wednesday
2015-09-09,01:00,0,2015,9,9,1,Wednesday
2015-09-09,02:00,0,2015,9,9,2,Wednesday
2015-09-09,03:00,0,2015,9,9,3,Wednesday
2015-09-09,04:00,0,2015,9,9,4,Wednesday
2015-09-09,05:00,0,2015,9,9,5,Wednesday
2015-09-09,06:00,0,2015,9,9,6,Wednesday
2015-09-09,07:00,17,2015,9,9,7,Wednesday
2015-09-09,08:00,7,2015,9,9,8,Wednesday
2015-09-09,09:00,0,2015,9,9,9,Wednesday
2015-09-09,10:00,0,2015,9,9,10,Wednesday
2015-09-09,11:00,0,2015,9,9,11,Wednesday
2015-09-09,12:00,0,2015,9,9,12,Wednesday
2015-09-09,13:00,0,2015,9,9,13,Wednesday
2015-09-09,14:00,0,2015,9,9,14,Wednesday
2015-09-09,15:00,0,2015,9,9,15,Wednesday
2015-09-09,16:00,3,2015,9,9,16,Wednesday
2015-09-09,17:00,4,2015,9,9,17,Wednesday
2015-09-09,18:00,3,2015,9,9,18,Wednesday
2015-09-09,19:00,8,2015,9,9,19,Wednesday
2015-09-09,20:00,29,2015,9,9,20,Wednesday
2015-09-09,21:00,24,2015,9,9,21,Wednesday
2015-09-09,22:00,0,2015,9,9,22,Wednesday
2015-09-09,23:00,7,2015,9,9,23,Wednesday
2015-09-10,00:00,0,2015,9,10,0,Thursday
2015-09-10,01:00,3,2015,9,10,1,Thursday
2015-09-10,02:00,0,2015,9,10,2,Thursday
2015-09-10,03:00,0,2015,9,10,3,Thursday
2015-09-10,04:00,0,2015,9,10,4,Thursday
2015-09-10,05:00,0,2015,9,10,5,Thursday
2015-09-10,06:00,19,2015,9,10,6,Thursday
2015-09-10,07:00,11,2015,9,10,7,Thursday
2015-09-10,08:00,9,2015,9,10,8,Thursday
2015-09-10,09:00,18,2015,9,10,9,Thursday
2015-09-10,10:00,0,2015,9,10,10,Thursday
2015-09-10,11:00,0,2015,9,10,11,Thursday
2015-09-10,12:00,0,2015,9,10,12,Thursday
2015-09-10,13:00,0,2015,9,10,13,Thursday
2015-09-10,14:00,3,2015,9,10,14,Thursday
2015-09-10,15:00,0,2015,9,10,15,Thursday
2015-09-10,16:00,18,2015,9,10,16,Thursday
2015-09-10,17:00,6,2015,9,10,17,Thursday
2015-09-10,18:00,21,2015,9,10,18,Thursday
2015-09-10,19:00,4,2015,9,10,19,Thursday
2015-09-10,20:00,8,2015,9,10,20,Thursday
2015-09-10,21:00,17,2015,9,10,21,Thursday
2015-09-10,22:00,3,2015,9,10,22,Thursday
2015-09-10,23:00,0,2015,9,10,23,Thursday
2015-09-11,00:00,0,2015,9,11,0,Friday
2015-09-11,01:00,0,2015,9,11,1,Friday
2015-09-11,02:00,4,2015,9,11,2,Friday
2015-09-11,03:00,0,2015,9,11,3,Friday
2015-09-11,04:00,0,2015,9,11,4,Friday
2015-09-11,05:00,0,2015,9,11,5,Friday
2015-09-11,06:00,3,2015,9,11,6,Friday
2015-09-11,07:00,16,2015,9,11,7,Friday
2015-09-11,08:00,9,2015,9,11,8,Friday
2015-09-11,09:00,1,2015,9,11,9,Friday
2015-09-11,10:00,0,2015,9,11,10,Friday
2015-09-11,11:00,0,2015,9,11,11,Friday
2015-09-11,12:00,0,2015,9,11,12,Friday
2015-09-11,13:00,0,2015,9,11,13,Friday
2015-09-11,14:00,0,2015,9,11,14,Friday
2015-09-11,15:00,3,2015,9,11,15,Friday
2015-09-11,16:00,18,2015,9,11,16,Friday
2015-09-11,17:00,3,2015,9,11,17,Friday
2015-09-11,18:00,11,2015,9,11,18,Friday
2015-09-11,19:00,2,2015,9,11,19,Friday
2015-09-11,20:00,2,2015,9,11,20,Friday
2015-09-11,21:00,8,2015,9,11,21,Friday
2015-09-11,22:00,1,2015,9,11,22,Friday
2015-09-11,23:00,0,2015,9,11,23,Friday
2015-09-12,00:00,0,2015,9,12,0,Saturday
2015-09-12,01:00,3,2015,9,12,1,Saturday
2015-09-12,02:00,0,2015,9,12,2,Saturday
2015-09-12,03:00,0,2015,9,12,3,Saturday
2015-09-12,04:00,0,2015,9,12,4,Saturday
2015-09-12,05:00,0,2015,9,12,5,Saturday
2015-09-12,06:00,0,2015,9,12,6,Saturday
2015-09-12,07:00,15,2015,9,12,7,Saturday
2015-09-12,08:00,6,2015,9,12,8,Saturday
2015-09-12,09:00,8,2015,9,12,9,Saturday
2015-09-12,10:00,0,2015,9,12,10,Saturday
2015-09-12,11:00,5,2015,9,12,11,Saturday
2015-09-12,12:00,7,2015,9,12,12,Saturday
2015-09-12,13:00,12,2015,9,12,13,Saturday
2015-09-12,14:00,28,2015,9,12,14,Saturday
2015-09-12,15:00,22,2015,9,12,15,Saturday
2015-09-12,16:00,6,2015,9,12,16,Saturday
2015-09-12,17:00,6,2015,9,12,17,Saturday
2015-09-12,18:00,4,2015,9,12,18,Saturday
2015-09-12,19:00,4,2015,9,12,19,Saturday
2015-09-12,20:00,8,2015,9,12,20,Saturday
2015-09-12,21:00,23,2015,9,12,21,Saturday
2015-09-12,22:00,7,2015,9,12,22,Saturday
2015-09-12,23:00,0,2015,9,12,23,Saturday
2015-09-13,00:00,0,2015,9,13,0,Sunday
2015-09-13,01:00,0,2015,9,13,1,Sunday
2015-09-13,02:00,0,2015,9,13,2,Sunday
2015-09-13,03:00,0,2015,9,13,3,Sunday
2015-09-13,04:00,0,2015,9,13,4,Sunday
2015-09-13,05:00,0,2015,9,13,5,Sunday
2015-09-13,06:00,0,2015,9,13,6,Sunday
2015-09-13,07:00,4,2015,9,13,7,Sunday
2015-09-13,08:00,9,2015,9,13,8,Sunday
2015-09-13,09:00,8,2015,9,13,9,Sunday
2015-09-13,10:00,15,2015,9,13,10,Sunday
2015-09-13,11:00,0,2015,9,13,11,Sunday
2015-09-13,12:00,0,2015,9,13,12,Sunday
2015-09-13,13:00,0,2015,9,13,13,Sunday
2015-09-13,14:00,2,2015,9,13,14,Sunday
2015-09-13,15:00,19,2015,9,13,15,Sunday
2015-09-13,16:00,8,2015,9,13,16,Sunday
2015-09-13,17:00,6,2015,9,13,17,Sunday
2015-09-13,18:00,4,2015,9,13,18,Sunday
2015-09-13,19:00,9,2015,9,13,19,Sunday
2015-09-13,20:00,11,2015,9,13,20,Sunday
2015-09-13,21:00,9,2015,9,13,21,Sunday
2015-09-13,22:00,4,2015,9,13,22,Sunday
2015-09-13,23:00,5,2015,9,13,23,Sunday
2015-09-14,00:00,0,2015,9,14,0,Monday
2015-09-14,01:00,0,2015,9,14,1,Monday
2015-09-14,02:00,0,2015,9,14,2,Monday
2015-09-14,03:00,0,2015,9,14,3,Monday
2015-09-14,04:00,0,2015,9,14,4,Monday
2015-09-14,05:00,0,2015,9,14,5,Monday
2015-09-14,06:00,3,2015,9,14,6,Monday
2015-09-14,07:00,16,2015,9,14,7,Monday
2015-09-14,08:00,2,2015,9,14,8,Monday
2015-09-14,09:00,4,2015,9,14,9,Monday
2015-09-14,10:00,0,2015,9,14,10,Monday
2015-09-14,11:00,0,2015,9,14,11,Monday
2015-09-14,12:00,0,2015,9,14,12,Monday
2015-09-14,13:00,3,2015,9,14,13,Monday
2015-09-14,14:00,15,2015,9,14,14,Monday
2015-09-14,15:00,0,2015,9,14,15,Monday
2015-09-14,16:00,2,2015,9,14,16,Monday
2015-09-14,17:00,12,2015,9,14,17,Monday
2015-09-14,18:00,13,2015,9,14,18,Monday
2015-09-14,19:00,4,2015,9,14,19,Monday
2015-09-14,20:00,15,2015,9,14,20,Monday
2015-09-14,21:00,23,2015,9,14,21,Monday
2015-09-14,22:00,3,2015,9,14,22,Monday
2015-09-14,23:00,0,2015,9,14,23,Monday
2015-09-15,00:00,0,2015,9,15,0,Tuesday
2015-09-15,01:00,0,2015,9,15,1,Tuesday
2015-09-15,02:00,0,2015,9,15,2,Tuesday
2015-09-15,03:00,0,2015,9,15,3,Tuesday
2015-09-15,04:00,0,2015,9,15,4,Tuesday
2015-09-15,05:00,0,2015,9,15,5,Tuesday
2015-09-15,06:00,0,2015,9,15,6,Tuesday
2015-09-15,07:00,19,2015,9,15,7,Tuesday
2015-09-15,08:00,9,2015,9,15,8,Tuesday
2015-09-15,09:00,6,2015,9,15,9,Tuesday
2015-09-15,10:00,7,2015,9,15,10,Tuesday
2015-09-15,11:00,4,2015,9,15,11,Tuesday
2015-09-15,12:00,4,2015,9,15,12,Tuesday
2015-09-15,13:00,0,2015,9,15,13,Tuesday
2015-09-15,14:00,4,2015,9,15,14,Tuesday
2015-09-15,15:00,5,2015,9,15,15,Tuesday
2015-09-15,16:00,19,2015,9,15,16,Tuesday
2015-09-15,17:00,1,2015,9,15,17,Tuesday
2015-09-15,18:00,8,2015,9,15,18,Tuesday
2015-09-15,19:00,3,2015,9,15,19,Tuesday
2015-09-15,20:00,0,2015,9,15,20,Tuesday
2015-09-15,21:00,19,2015,9,15,21,Tuesday
2015-09-15,22:00,0,2015,9,15,22,Tuesday
2015-09-15,23:00,0,2015,9,15,23,Tuesday
2015-09-16,00:00,4,2015,9,16,0,Wednesday
2015-09-16,01:00,0,2015,9,16,1,Wednesday
2015-09-16,02:00,2,2015,9,16,2,Wednesday
2015-09-16,03:00,0,2015,9,16,3,Wednesday
2015-09-16,04:00,0,2015,9,16,4,Wednesday
2015-09-16,05:00,0,2015,9,16,5,Wednesday
2015-09-16,06:00,4,2015,9,16,6,Wednesday
2015-09-16,07:00,17,2015,9,16,7,Wednesday
2015-09-16,08:00,8,2015,9,16,8,Wednesday
2015-09-16,09:00,0,2015,9,16,9,Wednesday
2015-09-16,10:00,0,2015,9,16,10,Wednesday
2015-09-16,11:00,0,2015,9,16,11,Wednesday
2015-09-16,12:00,0,2015,9,16,12,Wednesday
2015-09-16,13:00,0,2015,9,16,13,Wednesday
2015-09-16,14:00,4,2015,9,16,14,Wednesday
2015-09-16,15:00,0,2015,9,16,15,Wednesday
2015-09-16,16:00,0,2015,9,16,16,Wednesday
2015-09-16,17:00,0,2015,9,16,17,Wednesday
2015-09-16,18:00,39,2015,9,16,18,Wednesday
2015-09-16,19:00,8,2015,9,16,19,Wednesday
2015-09-16,20:00,0,2015,9,16,20,Wednesday
2015-09-16,21:00,29,2015,9,16,21,Wednesday
2015-09-16,22:00,3,2015,9,16,22,Wednesday
2015-09-16,23:00,3,2015,9,16,23,Wednesday
2015-09-17,00:00,0,2015,9,17,0,Thursday
2015-09-17,01:00,0,2015,9,17,1,Thursday
2015-09-17,02:00,0,2015,9,17,2,Thursday
2015-09-17,03:00,0,2015,9,17,3,Thursday
2015-09-17,04:00,0,2015,9,17,4,Thursday
2015-09-17,05:00,0,2015,9,17,5,Thursday
2015-09-17,06:00,4,2015,9,17,6,Thursday
2015-09-17,07:00,18,2015,9,17,7,Thursday
2015-09-17,08:00,11,2015,9,17,8,Thursday
2015-09-17,09:00,5,2015,9,17,9,Thursday
2015-09-17,10:00,0,2015,9,17,10,Thursday
2015-09-17,11:00,0,2015,9,17,11,Thursday
2015-09-17,12:00,0,2015,9,17,12,Thursday
2015-09-17,13:00,0,2015,9,17,13,Thursday
2015-09-17,14:00,0,2015,9,17,14,Thursday
2015-09-17,15:00,3,2015,9,17,15,Thursday
2015-09-17,16:00,32,2015,9,17,16,Thursday
2015-09-17,17:00,4,2015,9,17,17,Thursday
2015-09-17,18:00,13,2015,9,17,18,Thursday
2015-09-17,19:00,0,2015,9,17,19,Thursday
2015-09-17,20:00,24,2015,9,17,20,Thursday
2015-09-17,21:00,7,2015,9,17,21,Thursday
2015-09-17,22:00,0,2015,9,17,22,Thursday
2015-09-17,23:00,4,2015,9,17,23,Thursday
2015-09-18,00:00,0,2015,9,18,0,Friday
2015-09-18,01:00,0,2015,9,18,1,Friday
2015-09-18,02:00,2,2015,9,18,2,Friday
2015-09-18,03:00,36,2015,9,18,3,Friday
2015-09-18,04:00,13,2015,9,18,4,Friday
2015-09-18,05:00,0,2015,9,18,5,Friday
2015-09-18,06:00,4,2015,9,18,6,Friday
2015-09-18,07:00,7,2015,9,18,7,Friday
2015-09-18,08:00,7,2015,9,18,8,Friday
2015-09-18,09:00,0,2015,9,18,9,Friday
2015-09-18,10:00,0,2015,9,18,10,Friday
2015-09-18,11:00,0,2015,9,18,11,Friday
2015-09-18,12:00,0,2015,9,18,12,Friday
2015-09-18,13:00,0,2015,9,18,13,Friday
2015-09-18,14:00,0,2015,9,18,14,Friday
2015-09-18,15:00,2,2015,9,18,15,Friday
2015-09-18,16:00,12,2015,9,18,16,Friday
2015-09-18,17:00,4,2015,9,18,17,Friday
2015-09-18,18:00,9,2015,9,18,18,Friday
2015-09-18,19:00,3,2015,9,18,19,Friday
2015-09-18,20:00,9,2015,9,18,20,Friday
2015-09-18,21:00,11,2015,9,18,21,Friday
2015-09-18,22:00,6,2015,9,18,22,Friday
2015-09-18,23:00,9,2015,9,18,23,Friday
2015-09-19,00:00,10,2015,9,19,0,Saturday
2015-09-19,01:00,2,2015,9,19,1,Saturday
2015-09-19,02:00,3,2015,9,19,2,Saturday
2015-09-19,03:00,0,2015,9,19,3,Saturday
2015-09-19,04:00,0,2015,9,19,4,Saturday
2015-09-19,05:00,0,2015,9,19,5,Saturday
2015-09-19,06:00,3,2015,9,19,6,Saturday
2015-09-19,07:00,19,2015,9,19,7,Saturday
2015-09-19,08:00,27,2015,9,19,8,Saturday
2015-09-19,09:00,7,2015,9,19,9,Saturday
2015-09-19,10:00,35,2015,9,19,10,Saturday
2015-09-19,11:00,5,2015,9,19,11,Saturday
2015-09-19,12:00,0,2015,9,19,12,Saturday
2015-09-19,13:00,0,2015,9,19,13,Saturday
2015-09-19,14:00,11,2015,9,19,14,Saturday
2015-09-19,15:00,4,2015,9,19,15,Saturday
2015-09-19,16:00,17,2015,9,19,16,Saturday
2015-09-19,17:00,1,2015,9,19,17,Saturday
2015-09-19,18:00,9,2015,9,19,18,Saturday
2015-09-19,19:00,19,2015,9,19,19,Saturday
2015-09-19,20:00,22,2015,9,19,20,Saturday
2015-09-19,21:00,1,2015,9,19,21,Saturday
2015-09-19,22:00,6,2015,9,19,22,Saturday
2015-09-19,23:00,4,2015,9,19,23,Saturday
2015-09-20,00:00,0,2015,9,20,0,Sunday
2015-09-20,01:00,0,2015,9,20,1,Sunday
2015-09-20,02:00,4,2015,9,20,2,Sunday
2015-09-20,03:00,3,2015,9,20,3,Sunday
2015-09-20,04:00,0,2015,9,20,4,Sunday
2015-09-20,05:00,0,2015,9,20,5,Sunday
2015-09-20,06:00,0,2015,9,20,6,Sunday
2015-09-20,07:00,3,2015,9,20,7,Sunday
2015-09-20,08:00,44,2015,9,20,8,Sunday
2015-09-20,09:00,38,2015,9,20,9,Sunday
2015-09-20,10:00,23,2015,9,20,10,Sunday
2015-09-20,11:00,0,2015,9,20,11,Sunday
2015-09-20,12:00,6,2015,9,20,12,Sunday
2015-09-20,13:00,29,2015,9,20,13,Sunday
2015-09-20,14:00,22,2015,9,20,14,Sunday
2015-09-20,15:00,11,2015,9,20,15,Sunday
2015-09-20,16:00,16,2015,9,20,16,Sunday
2015-09-20,17:00,6,2015,9,20,17,Sunday
2015-09-20,18:00,0,2015,9,20,18,Sunday
2015-09-20,19:00,0,2015,9,20,19,Sunday
2015-09-20,20:00,8,2015,9,20,20,Sunday
2015-09-20,21:00,15,2015,9,20,21,Sunday
2015-09-20,22:00,0,2015,9,20,22,Sunday
2015-09-20,23:00,0,2015,9,20,23,Sunday
2015-09-21,00:00,0,2015,9,21,0,Monday
2015-09-21,01:00,0,2015,9,21,1,Monday
2015-09-21,02:00,0,2015,9,21,2,Monday
2015-09-21,03:00,0,2015,9,21,3,Monday
2015-09-21,04:00,0,2015,9,21,4,Monday
2015-09-21,05:00,0,2015,9,21,5,Monday
2015-09-21,06:00,0,2015,9,21,6,Monday
2015-09-21,07:00,17,2015,9,21,7,Monday
2015-09-21,08:00,2,2015,9,21,8,Monday
2015-09-21,09:00,0,2015,9,21,9,Monday
2015-09-21,10:00,0,2015,9,21,10,Monday
2015-09-21,11:00,0,2015,9,21,11,Monday
2015-09-21,12:00,0,2015,9,21,12,Monday
2015-09-21,13:00,3,2015,9,21,13,Monday
2015-09-21,14:00,14,2015,9,21,14,Monday
2015-09-21,15:00,1,2015,9,21,15,Monday
2015-09-21,16:00,3,2015,9,21,16,Monday
2015-09-21,17:00,5,2015,9,21,17,Monday
2015-09-21,18:00,6,2015,9,21,18,Monday
2015-09-21,19:00,4,2015,9,21,19,Monday
2015-09-21,20:00,0,2015,9,21,20,Monday
2015-09-21,21:00,30,2015,9,21,21,Monday
2015-09-21,22:00,7,2015,9,21,22,Monday
2015-09-21,23:00,0,2015,9,21,23,Monday
2015-09-22,00:00,0,2015,9,22,0,Tuesday
2015-09-22,01:00,0,2015,9,22,1,Tuesday
2015-09-22,02:00,0,2015,9,22,2,Tuesday
2015-09-22,03:00,0,2015,9,22,3,Tuesday
2015-09-22,04:00,0,2015,9,22,4,Tuesday
2015-09-22,05:00,0,2015,9,22,5,Tuesday
2015-09-22,06:00,0,2015,9,22,6,Tuesday
2015-09-22,07:00,8,2015,9,22,7,Tuesday
2015-09-22,08:00,7,2015,9,22,8,Tuesday
2015-09-22,09:00,0,2015,9,22,9,Tuesday
2015-09-22,10:00,0,2015,9,22,10,Tuesday
